name,governorate,city,district,address,phone,location_url,district_id
صيدلية د. حسين حسين,السويس,المركز الرئيسي,الحي 1,شارع 69، خلف المدرسة، الحي 1,0127487155,"https://www.google.com/maps?q=29.18432961421293,31.53075037255889",DIST-13-883
صيدلية صيدلية المدينة - المركز الرئيسي,الفيوم,المركز الرئيسي,الحي 10,شارع 78، خلف المسجد، الحي 10,0152562034,"https://www.google.com/maps?q=30.28028517056629,31.302505895931642",DIST-14-863
صيدلية سيف - ميت غمر,الدقهلية,ميت غمر,الحي 4,شارع 14، خلف المسجد، الحي 4,0106696750,"https://www.google.com/maps?q=29.876907326476346,31.13701144231871",DIST-04-445
صيدلية سيف - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 6,شارع 3، خلف البنك، الحي 6,0104664275,"https://www.google.com/maps?q=29.30699562552447,30.35476444084766",DIST-16-433
صيدلية خليل - المركز الرئيسي,الأقصر,المركز الرئيسي,الحي 3,شارع 91، خلف المدرسة، الحي 3,0154502529,"https://www.google.com/maps?q=29.08591442782879,31.108025339342284",DIST-20-238
صيدلية صيدلية المدينة - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 10,شارع 90، خلف المسجد، الحي 10,0116036144,"https://www.google.com/maps?q=29.89528507107791,31.245207312141254",DIST-12-561
صيدلية مصر - المركز الرئيسي,شمال سيناء,المركز الرئيسي,الحي 2,شارع 63، خلف المدرسة، الحي 2,0119066806,"https://www.google.com/maps?q=30.911713461986434,31.728828011790842",DIST-25-710
صيدلية 19011 - المركز الرئيسي,أسيوط,المركز الرئيسي,الحي 1,شارع 82، خلف المدرسة، الحي 1,0156943320,"https://www.google.com/maps?q=30.112293894781732,30.794259234837288",DIST-17-603
صيدلية صيدلية المدينة - العجمي,الإسكندرية,العجمي,الحي 8,شارع 20، خلف المسجد، الحي 8,0112125504,"https://www.google.com/maps?q=29.03849012777478,30.35112655183432",DIST-02-978
صيدلية مصر - المركز الرئيسي,أسيوط,المركز الرئيسي,الحي 8,شارع 82، خلف المسجد، الحي 8,0116472943,"https://www.google.com/maps?q=30.21194070233159,30.904580189468618",DIST-17-874
صيدلية العزبي - المركز الرئيسي,أسيوط,المركز الرئيسي,الحي 3,شارع 74، خلف البنك، الحي 3,0121364436,"https://www.google.com/maps?q=29.86417490549517,30.555783342696028",DIST-17-778
صيدلية العزبي - المركز الرئيسي,سوهاج,المركز الرئيسي,الحي 1,شارع 36، خلف المسجد، الحي 1,0103239990,"https://www.google.com/maps?q=29.333508266491144,31.47495249729628",DIST-18-535
صيدلية رشدي - المركز الرئيسي,بورسعيد,المركز الرئيسي,الحي 5,شارع 4، خلف المدرسة، الحي 5,0118428572,"https://www.google.com/maps?q=29.23812951142883,30.594487643405383",DIST-11-503
صيدلية مصر - المركز الرئيسي,البحر الأحمر,المركز الرئيسي,الحي 3,شارع 92، خلف البنك، الحي 3,0124382093,"https://www.google.com/maps?q=30.819798398515104,31.752607928056428",DIST-22-480
صيدلية سيف - المركز الرئيسي,الوادي الجديد,المركز الرئيسي,الحي 9,شارع 50، خلف البنك، الحي 9,0121067307,"https://www.google.com/maps?q=29.950626220013053,31.874051733076456",DIST-23-345
صيدلية مصر - المركز الرئيسي,البحر الأحمر,المركز الرئيسي,الحي 4,شارع 76، خلف البنك، الحي 4,0123379894,"https://www.google.com/maps?q=30.410927708654505,30.730253136344352",DIST-22-306
صيدلية سيف - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 6,شارع 4، خلف المدرسة، الحي 6,0156481361,"https://www.google.com/maps?q=30.513637130616647,30.567312110624485",DIST-06-707
صيدلية 19011 - المركز الرئيسي,كفر الشيخ,المركز الرئيسي,الحي 3,شارع 55، خلف المسجد، الحي 3,0111074213,"https://www.google.com/maps?q=29.434390443946512,31.094933120020148",DIST-09-542
صيدلية العزبي - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 7,شارع 6، خلف المدرسة، الحي 7,0109249066,"https://www.google.com/maps?q=30.97741114802917,30.41226602186236",DIST-16-186
صيدلية د. إبراهيم أحمد,الإسماعيلية,المركز الرئيسي,الحي 9,شارع 56، خلف البنك، الحي 9,0119695913,"https://www.google.com/maps?q=29.25762621722811,31.526375255848592",DIST-12-297
صيدلية العزبي - المركز الرئيسي,كفر الشيخ,المركز الرئيسي,الحي 7,شارع 20، خلف المدرسة، الحي 7,0109166003,"https://www.google.com/maps?q=30.17862508766873,31.963999012764074",DIST-09-216
صيدلية د. حسين أحمد,الدقهلية,المنصورة,الحي 7,شارع 10، خلف البنك، الحي 7,0115231901,"https://www.google.com/maps?q=29.563756142660466,31.291393837559742",DIST-04-660
صيدلية خليل - المركز الرئيسي,قنا,المركز الرئيسي,الحي 5,شارع 59، خلف البنك، الحي 5,0107005853,"https://www.google.com/maps?q=29.97360167323542,31.673427686085493",DIST-19-401
صيدلية صيدليات شاكر - المركز الرئيسي,الفيوم,المركز الرئيسي,الحي 4,شارع 13، خلف البنك، الحي 4,0123949128,"https://www.google.com/maps?q=29.78018844405912,31.71993677717651",DIST-14-220
صيدلية صيدلية المدينة - المركز الرئيسي,سوهاج,المركز الرئيسي,الحي 1,شارع 31، خلف المسجد، الحي 1,0112456497,"https://www.google.com/maps?q=30.33936751148859,30.943538557732527",DIST-18-927
صيدلية صيدلية المدينة - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 2,شارع 23، خلف البنك، الحي 2,0101855460,"https://www.google.com/maps?q=30.273759781739578,30.39335846847389",DIST-12-771
صيدلية د. محمد علي,الإسكندرية,سيدي جابر,الحي 5,شارع 71، خلف البنك، الحي 5,0116643173,"https://www.google.com/maps?q=30.62857328301077,30.22176564919221",DIST-02-683
صيدلية صيدلية المدينة - المركز الرئيسي,أسيوط,المركز الرئيسي,الحي 2,شارع 2، خلف البنك، الحي 2,0114866921,"https://www.google.com/maps?q=30.318965185364135,31.70533296571258",DIST-17-428
صيدلية رشدي - المركز الرئيسي,سوهاج,المركز الرئيسي,الحي 10,شارع 84، خلف المسجد، الحي 10,0128333313,"https://www.google.com/maps?q=29.76339190889931,30.64476564511478",DIST-18-316
صيدلية مصر - المركز الرئيسي,السويس,المركز الرئيسي,الحي 3,شارع 63، خلف المدرسة، الحي 3,0154949894,"https://www.google.com/maps?q=30.645114094059345,30.3956963802528",DIST-13-980
صيدلية د. علي حسن,القاهرة,شبرا,الحي 9,شارع 86، خلف البنك، الحي 9,0122247110,"https://www.google.com/maps?q=30.74955194406477,30.079168187049504",DIST-00-778
صيدلية العزبي - المركز الرئيسي,جنوب سيناء,المركز الرئيسي,الحي 9,شارع 66، خلف المسجد، الحي 9,0157479829,"https://www.google.com/maps?q=30.096297694933945,31.12858369754006",DIST-26-367
صيدلية د. علي حسن,جنوب سيناء,المركز الرئيسي,الحي 5,شارع 59، خلف المدرسة، الحي 5,0105170460,"https://www.google.com/maps?q=30.14700367902032,30.424155901107603",DIST-26-815
صيدلية د. أحمد حسن,البحيرة,المركز الرئيسي,الحي 9,شارع 73، خلف المدرسة، الحي 9,0151668053,"https://www.google.com/maps?q=29.719533399333574,31.238452913534505",DIST-08-735
صيدلية صيدليات شاكر - المركز الرئيسي,كفر الشيخ,المركز الرئيسي,الحي 4,شارع 80، خلف المسجد، الحي 4,0119880760,"https://www.google.com/maps?q=29.715924391696603,30.01654570073502",DIST-09-123
صيدلية مصر - المركز الرئيسي,البحيرة,المركز الرئيسي,الحي 1,شارع 49، خلف المسجد، الحي 1,0157384819,"https://www.google.com/maps?q=29.394725594955023,30.0820344227461",DIST-08-935
صيدلية العزبي - المركز الرئيسي,البحر الأحمر,المركز الرئيسي,الحي 9,شارع 9، خلف المدرسة، الحي 9,0115432710,"https://www.google.com/maps?q=29.372009983783148,30.093484998029407",DIST-22-941
صيدلية العزبي - المركز الرئيسي,شمال سيناء,المركز الرئيسي,الحي 7,شارع 11، خلف البنك، الحي 7,0126078458,"https://www.google.com/maps?q=30.442282508468576,31.51978732884214",DIST-25-602
صيدلية خليل - المركز الرئيسي,أسيوط,المركز الرئيسي,الحي 1,شارع 74، خلف البنك، الحي 1,0155871997,"https://www.google.com/maps?q=30.367900861307472,30.070874764269647",DIST-17-653
صيدلية 19011 - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 6,شارع 90، خلف المدرسة، الحي 6,0103887967,"https://www.google.com/maps?q=30.538469519360277,30.193712303496987",DIST-06-858
صيدلية د. إبراهيم إبراهيم,جنوب سيناء,المركز الرئيسي,الحي 9,شارع 28، خلف المدرسة، الحي 9,0152681231,"https://www.google.com/maps?q=29.276550178198086,31.440717117885658",DIST-26-443
صيدلية 19011 - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 7,شارع 21، خلف البنك، الحي 7,0159077544,"https://www.google.com/maps?q=29.618976804369737,31.587872660046855",DIST-06-432
صيدلية د. سيد سيد,السويس,المركز الرئيسي,الحي 5,شارع 64، خلف المسجد، الحي 5,0154087463,"https://www.google.com/maps?q=30.51556186215761,31.37009081393218",DIST-13-172
صيدلية 19011 - المركز الرئيسي,سوهاج,المركز الرئيسي,الحي 9,شارع 70، خلف المسجد، الحي 9,0157191434,"https://www.google.com/maps?q=29.494440050832303,31.507269644417256",DIST-18-484
صيدلية مصر - المركز الرئيسي,أسوان,المركز الرئيسي,الحي 7,شارع 68، خلف المسجد، الحي 7,0117900528,"https://www.google.com/maps?q=29.4821677163481,30.636197028145588",DIST-21-353
صيدلية سيف - المركز الرئيسي,أسوان,المركز الرئيسي,الحي 3,شارع 52، خلف المسجد، الحي 3,0104295964,"https://www.google.com/maps?q=30.300764228480354,30.58478072630368",DIST-21-300
صيدلية رشدي - بلبيس,الشرقية,بلبيس,الحي 7,شارع 12، خلف المدرسة، الحي 7,0152644962,"https://www.google.com/maps?q=30.183829140373657,31.04106562212618",DIST-05-233
صيدلية د. إبراهيم محمد,البحر الأحمر,المركز الرئيسي,الحي 7,شارع 88، خلف المدرسة، الحي 7,0151104525,"https://www.google.com/maps?q=30.827688683534866,30.022088311344778",DIST-22-119
صيدلية علي وعلي - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 10,شارع 71، خلف المدرسة، الحي 10,0156843093,"https://www.google.com/maps?q=30.558342065598115,31.27057508661992",DIST-16-261
صيدلية د. محمد حسن,أسوان,المركز الرئيسي,الحي 2,شارع 16، خلف المدرسة، الحي 2,0109540590,"https://www.google.com/maps?q=29.802192417996128,30.904056945583513",DIST-21-894
صيدلية خليل - المركز الرئيسي,السويس,المركز الرئيسي,الحي 7,شارع 40، خلف المسجد، الحي 7,0106811481,"https://www.google.com/maps?q=30.541176798842304,30.15982608121227",DIST-13-269
صيدلية د. حسن حسين,بورسعيد,المركز الرئيسي,الحي 5,شارع 81، خلف البنك، الحي 5,0101692124,"https://www.google.com/maps?q=29.136632889689494,31.27680894729643",DIST-11-950
صيدلية مصر - المركز الرئيسي,الفيوم,المركز الرئيسي,الحي 9,شارع 29، خلف المدرسة، الحي 9,0102033633,"https://www.google.com/maps?q=30.880911759697668,30.823749394622112",DIST-14-468
صيدلية العزبي - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 8,شارع 32، خلف البنك، الحي 8,0103112545,"https://www.google.com/maps?q=29.028650321698912,30.835450004210603",DIST-16-538
صيدلية صيدليات شاكر - الرحاب,القاهرة,الرحاب,الحي 6,شارع 32، خلف البنك، الحي 6,0106102212,"https://www.google.com/maps?q=30.857108029655144,30.592626392629644",DIST-00-872
صيدلية خليل - التجمع الخامس,القاهرة,التجمع الخامس,الحي 7,شارع 63، خلف البنك، الحي 7,0156221495,"https://www.google.com/maps?q=29.401620111250732,31.38225624962521",DIST-00-553
صيدلية علي وعلي - المركز الرئيسي,القليوبية,المركز الرئيسي,الحي 3,شارع 15، خلف المسجد، الحي 3,0126861527,"https://www.google.com/maps?q=30.208767099592063,30.209336463818126",DIST-03-307
صيدلية مصر - المركز الرئيسي,مطروح,المركز الرئيسي,الحي 6,شارع 20، خلف المدرسة، الحي 6,0102413938,"https://www.google.com/maps?q=29.603123858191225,31.050645333330408",DIST-24-254
صيدلية 19011 - المركز الرئيسي,الأقصر,المركز الرئيسي,الحي 10,شارع 56، خلف المدرسة، الحي 10,0115232335,"https://www.google.com/maps?q=29.048426100968463,30.256730162257874",DIST-20-592
صيدلية صيدلية المدينة - المركز الرئيسي,بني سويف,المركز الرئيسي,الحي 9,شارع 94، خلف المدرسة، الحي 9,0122618401,"https://www.google.com/maps?q=29.504144023124674,30.08386241644872",DIST-15-254
صيدلية صيدلية المدينة - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 3,شارع 40، خلف المسجد، الحي 3,0115153880,"https://www.google.com/maps?q=29.089883857136076,31.202131242325137",DIST-12-348
صيدلية صيدليات شاكر - المركز الرئيسي,الغربية,المركز الرئيسي,الحي 7,شارع 16، خلف المسجد، الحي 7,0124063054,"https://www.google.com/maps?q=30.828555523174806,30.002312364274715",DIST-07-329
صيدلية صيدليات شاكر - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 2,شارع 76، خلف البنك، الحي 2,0123452495,"https://www.google.com/maps?q=29.806446887643638,30.857419291348727",DIST-06-807
صيدلية صيدلية المدينة - الشيخ زايد,الجيزة,الشيخ زايد,الحي 5,شارع 43، خلف المسجد، الحي 5,0107991391,"https://www.google.com/maps?q=29.94381784039502,30.9723061519125",DIST-01-127
صيدلية د. سيد علي,البحر الأحمر,المركز الرئيسي,الحي 5,شارع 27، خلف المدرسة، الحي 5,0153802405,"https://www.google.com/maps?q=29.9556406360723,31.43267603847058",DIST-22-737
صيدلية د. علي حسن,جنوب سيناء,المركز الرئيسي,الحي 8,شارع 54، خلف المدرسة، الحي 8,0116103048,"https://www.google.com/maps?q=29.753346410513913,30.299810781278172",DIST-26-556
صيدلية د. سيد حسين,القاهرة,الرحاب,الحي 1,شارع 72، خلف المسجد، الحي 1,0111965238,"https://www.google.com/maps?q=29.220783556758047,31.28067061426989",DIST-00-410
صيدلية د. حسن أحمد,قنا,المركز الرئيسي,الحي 9,شارع 37، خلف المدرسة، الحي 9,0114786325,"https://www.google.com/maps?q=30.53170598011886,31.467545761404377",DIST-19-688
صيدلية د. حسن إبراهيم,الإسماعيلية,المركز الرئيسي,الحي 9,شارع 95، خلف البنك، الحي 9,0129021870,"https://www.google.com/maps?q=29.883319375900882,30.47533202240594",DIST-12-944
صيدلية صيدليات شاكر - محرم بك,الإسكندرية,محرم بك,الحي 7,شارع 27، خلف البنك، الحي 7,0152553573,"https://www.google.com/maps?q=30.250761225757895,31.461083437833643",DIST-02-661
صيدلية رشدي - المركز الرئيسي,القليوبية,المركز الرئيسي,الحي 6,شارع 5، خلف المدرسة، الحي 6,0119561292,"https://www.google.com/maps?q=29.477400375116094,31.578906829284843",DIST-03-562
صيدلية صيدلية المدينة - المركز الرئيسي,دمياط,المركز الرئيسي,الحي 9,شارع 9، خلف المدرسة، الحي 9,0111830436,"https://www.google.com/maps?q=30.81963443662417,31.769920318297345",DIST-10-933
صيدلية د. إبراهيم محمود,أسيوط,المركز الرئيسي,الحي 3,شارع 9، خلف البنك، الحي 3,0127311445,"https://www.google.com/maps?q=30.407255738823036,30.06412387911316",DIST-17-112
صيدلية د. حسن محمود,أسوان,المركز الرئيسي,الحي 8,شارع 63، خلف المسجد، الحي 8,0117838452,"https://www.google.com/maps?q=29.576016672013104,30.70531488822181",DIST-21-143
صيدلية رشدي - المركز الرئيسي,القليوبية,المركز الرئيسي,الحي 10,شارع 44، خلف المسجد، الحي 10,0103478159,"https://www.google.com/maps?q=30.65860914239791,31.40209737814678",DIST-03-319
صيدلية علي وعلي - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 6,شارع 31، خلف المسجد، الحي 6,0103634943,"https://www.google.com/maps?q=29.5021987370954,30.3207589417109",DIST-06-199
صيدلية د. محمد أحمد,الوادي الجديد,المركز الرئيسي,الحي 9,شارع 6، خلف البنك، الحي 9,0102205168,"https://www.google.com/maps?q=29.06775411850716,31.811729201325157",DIST-23-579
صيدلية علي وعلي - المركز الرئيسي,بني سويف,المركز الرئيسي,الحي 6,شارع 72، خلف المدرسة، الحي 6,0121278991,"https://www.google.com/maps?q=30.965557628113583,30.471029305920283",DIST-15-634
صيدلية رشدي - المركز الرئيسي,دمياط,المركز الرئيسي,الحي 5,شارع 33، خلف المدرسة، الحي 5,0127935115,"https://www.google.com/maps?q=30.508708615751843,30.598941870453054",DIST-10-854
صيدلية صيدلية المدينة - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 2,شارع 46، خلف البنك، الحي 2,0113302998,"https://www.google.com/maps?q=30.959304391976648,30.800328890953583",DIST-16-399
صيدلية سيف - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 7,شارع 92، خلف البنك، الحي 7,0154056035,"https://www.google.com/maps?q=29.172308020284415,31.870454347435494",DIST-16-284
صيدلية د. أحمد حسين,الشرقية,العاشر من رمضان,الحي 7,شارع 85، خلف المسجد، الحي 7,0104590882,"https://www.google.com/maps?q=29.36842947295729,31.998388223360603",DIST-05-511
صيدلية 19011 - المركز الرئيسي,الغربية,المركز الرئيسي,الحي 1,شارع 13، خلف المسجد، الحي 1,0158637722,"https://www.google.com/maps?q=30.28180143514726,31.399347869723545",DIST-07-338
صيدلية صيدليات شاكر - المركز الرئيسي,بني سويف,المركز الرئيسي,الحي 8,شارع 61، خلف المسجد، الحي 8,0157873748,"https://www.google.com/maps?q=30.50029057851513,30.114962559128287",DIST-15-195
صيدلية د. سيد إبراهيم,الغربية,المركز الرئيسي,الحي 9,شارع 88، خلف البنك، الحي 9,0102901828,"https://www.google.com/maps?q=29.15749487414185,31.556942903732125",DIST-07-134
صيدلية 19011 - المركز الرئيسي,الوادي الجديد,المركز الرئيسي,الحي 5,شارع 79، خلف المدرسة، الحي 5,0108949712,"https://www.google.com/maps?q=29.693900088694242,31.07544549098322",DIST-23-667
صيدلية علي وعلي - حلوان,القاهرة,حلوان,الحي 7,شارع 20، خلف البنك، الحي 7,0103905247,"https://www.google.com/maps?q=29.19903677681319,31.441386813980507",DIST-00-319
صيدلية سيف - المركز الرئيسي,شمال سيناء,المركز الرئيسي,الحي 8,شارع 56، خلف المدرسة، الحي 8,0156161687,"https://www.google.com/maps?q=29.4618855568427,31.40437630425766",DIST-25-725
صيدلية صيدليات شاكر - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 5,شارع 64، خلف المسجد، الحي 5,0153433660,"https://www.google.com/maps?q=29.418892322578895,31.071688286790735",DIST-06-534
صيدلية العزبي - المركز الرئيسي,الفيوم,المركز الرئيسي,الحي 6,شارع 89، خلف البنك، الحي 6,0102476000,"https://www.google.com/maps?q=30.979893411945355,30.974632449132226",DIST-14-216
صيدلية صيدليات شاكر - المركز الرئيسي,الغربية,المركز الرئيسي,الحي 9,شارع 64، خلف البنك، الحي 9,0127435271,"https://www.google.com/maps?q=30.580495361353115,31.25174108710436",DIST-07-385
صيدلية 19011 - المركز الرئيسي,البحر الأحمر,المركز الرئيسي,الحي 5,شارع 8، خلف المدرسة، الحي 5,0103976892,"https://www.google.com/maps?q=29.12396794626372,31.949986626021015",DIST-22-770
صيدلية علي وعلي - المركز الرئيسي,بني سويف,المركز الرئيسي,الحي 10,شارع 75، خلف المسجد، الحي 10,0159292389,"https://www.google.com/maps?q=29.46040924906771,30.746266836396",DIST-15-822
صيدلية رشدي - السنبلاوين,الدقهلية,السنبلاوين,الحي 10,شارع 10، خلف المدرسة، الحي 10,0108232698,"https://www.google.com/maps?q=30.904665138754666,31.52425895308424",DIST-04-267
صيدلية العزبي - المركز الرئيسي,بورسعيد,المركز الرئيسي,الحي 3,شارع 65، خلف المسجد، الحي 3,0103626507,"https://www.google.com/maps?q=29.943482984412153,30.747156390337793",DIST-11-576
صيدلية خليل - المركز الرئيسي,أسوان,المركز الرئيسي,الحي 8,شارع 70، خلف البنك، الحي 8,0122559193,"https://www.google.com/maps?q=30.954317214237506,30.596454654960258",DIST-21-945
صيدلية رشدي - ميت غمر,الدقهلية,ميت غمر,الحي 9,شارع 50، خلف المدرسة، الحي 9,0151418742,"https://www.google.com/maps?q=30.306022058214644,30.511980222140554",DIST-04-225
صيدلية د. إبراهيم علي,الفيوم,المركز الرئيسي,الحي 3,شارع 40، خلف المسجد، الحي 3,0122936815,"https://www.google.com/maps?q=29.667686905178595,31.669886920588244",DIST-14-102
صيدلية د. سيد محمد,شمال سيناء,المركز الرئيسي,الحي 8,شارع 4، خلف البنك، الحي 8,0127337283,"https://www.google.com/maps?q=29.678323001192368,30.439249297158458",DIST-25-349
صيدلية د. إبراهيم حسين,الجيزة,المهندسين,الحي 5,شارع 30، خلف البنك، الحي 5,0153507846,"https://www.google.com/maps?q=30.310117667936957,31.596439959303925",DIST-01-238
صيدلية صيدليات شاكر - المركز الرئيسي,بورسعيد,المركز الرئيسي,الحي 1,شارع 38، خلف المدرسة، الحي 1,0129997874,"https://www.google.com/maps?q=29.078769178041224,31.955908190251964",DIST-11-132
صيدلية د. علي سيد,جنوب سيناء,المركز الرئيسي,الحي 1,شارع 58، خلف المسجد، الحي 1,0113036684,"https://www.google.com/maps?q=30.224270216463804,31.4064591009747",DIST-26-309
صيدلية 19011 - المركز الرئيسي,البحر الأحمر,المركز الرئيسي,الحي 6,شارع 24، خلف المسجد، الحي 6,0153660679,"https://www.google.com/maps?q=29.37992654606704,31.597267412528186",DIST-22-224
صيدلية خليل - السيوف,الإسكندرية,السيوف,الحي 9,شارع 77، خلف البنك، الحي 9,0157905470,"https://www.google.com/maps?q=29.089560478269583,31.70773750545496",DIST-02-423
صيدلية 19011 - المنصورة,الدقهلية,المنصورة,الحي 8,شارع 85، خلف البنك، الحي 8,0155455024,"https://www.google.com/maps?q=29.35706343818532,30.82832939797691",DIST-04-354
صيدلية سيف - المركز الرئيسي,سوهاج,المركز الرئيسي,الحي 7,شارع 25، خلف البنك، الحي 7,0104804508,"https://www.google.com/maps?q=29.92707131317036,30.90132090705319",DIST-18-224
صيدلية مصر - المركز الرئيسي,سوهاج,المركز الرئيسي,الحي 2,شارع 90، خلف البنك، الحي 2,0116463931,"https://www.google.com/maps?q=30.556006729230663,31.200635900268395",DIST-18-349
صيدلية د. علي علي,الإسماعيلية,المركز الرئيسي,الحي 7,شارع 29، خلف المسجد، الحي 7,0119264026,"https://www.google.com/maps?q=29.96988323670902,30.853272849893937",DIST-12-110
صيدلية د. سيد محمود,الإسماعيلية,المركز الرئيسي,الحي 9,شارع 77، خلف البنك، الحي 9,0124573633,"https://www.google.com/maps?q=30.519843559046876,31.817756905336104",DIST-12-793
صيدلية سيف - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 6,شارع 62، خلف المسجد، الحي 6,0153113164,"https://www.google.com/maps?q=30.82317128903209,30.20695248595802",DIST-12-789
صيدلية د. أحمد محمود,شمال سيناء,المركز الرئيسي,الحي 9,شارع 33، خلف المسجد، الحي 9,0106632881,"https://www.google.com/maps?q=30.7109644194868,30.14415186803268",DIST-25-447
صيدلية د. محمود سيد,قنا,المركز الرئيسي,الحي 4,شارع 64، خلف المدرسة، الحي 4,0114338859,"https://www.google.com/maps?q=29.13274906837743,31.72183333398279",DIST-19-242
صيدلية 19011 - المركز الرئيسي,أسيوط,المركز الرئيسي,الحي 3,شارع 2، خلف البنك، الحي 3,0103375718,"https://www.google.com/maps?q=30.159778091606444,31.389919562144367",DIST-17-712
صيدلية د. سيد محمد,سوهاج,المركز الرئيسي,الحي 9,شارع 43، خلف المسجد، الحي 9,0125727073,"https://www.google.com/maps?q=30.272134928065643,30.098191405758847",DIST-18-812
صيدلية صيدلية المدينة - المركز الرئيسي,أسوان,المركز الرئيسي,الحي 3,شارع 93، خلف المدرسة، الحي 3,0118425742,"https://www.google.com/maps?q=29.015677671061912,31.390694469758344",DIST-21-770
صيدلية صيدليات شاكر - المركز الرئيسي,دمياط,المركز الرئيسي,الحي 9,شارع 17، خلف المسجد، الحي 9,0122363817,"https://www.google.com/maps?q=30.959079051620712,30.584767063675372",DIST-10-944
صيدلية علي وعلي - المركز الرئيسي,بني سويف,المركز الرئيسي,الحي 7,شارع 67، خلف البنك، الحي 7,0116103717,"https://www.google.com/maps?q=30.222273410323453,31.405440073077724",DIST-15-300
صيدلية صيدليات شاكر - المركز الرئيسي,الفيوم,المركز الرئيسي,الحي 9,شارع 21، خلف المدرسة، الحي 9,0114318170,"https://www.google.com/maps?q=30.072573027434824,31.36321278991857",DIST-14-892
صيدلية مصر - المركز الرئيسي,دمياط,المركز الرئيسي,الحي 7,شارع 15، خلف المسجد، الحي 7,0123038065,"https://www.google.com/maps?q=30.587971070216614,31.925223042462505",DIST-10-647
صيدلية 19011 - المركز الرئيسي,الغربية,المركز الرئيسي,الحي 7,شارع 80، خلف البنك، الحي 7,0123461098,"https://www.google.com/maps?q=29.849257942286734,31.547836213793353",DIST-07-925
صيدلية صيدلية المدينة - المركز الرئيسي,كفر الشيخ,المركز الرئيسي,الحي 3,شارع 72، خلف البنك، الحي 3,0111866789,"https://www.google.com/maps?q=29.158380307698106,30.907834131771803",DIST-09-230
صيدلية صيدلية المدينة - سيدي جابر,الإسكندرية,سيدي جابر,الحي 2,شارع 13، خلف المسجد، الحي 2,0127434110,"https://www.google.com/maps?q=29.95862287755709,31.931599146305732",DIST-02-566
صيدلية سيف - المركز الرئيسي,البحر الأحمر,المركز الرئيسي,الحي 5,شارع 4، خلف البنك، الحي 5,0124652974,"https://www.google.com/maps?q=29.564384331713235,31.993576200103654",DIST-22-967
صيدلية علي وعلي - السنبلاوين,الدقهلية,السنبلاوين,الحي 5,شارع 29، خلف المسجد، الحي 5,0153207063,"https://www.google.com/maps?q=29.781376763195496,30.96689759564643",DIST-04-549
صيدلية رشدي - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 2,شارع 11، خلف البنك، الحي 2,0152322140,"https://www.google.com/maps?q=29.043720799567154,30.140999674257493",DIST-12-202
صيدلية د. إبراهيم إبراهيم,شمال سيناء,المركز الرئيسي,الحي 5,شارع 45، خلف المدرسة، الحي 5,0128232963,"https://www.google.com/maps?q=29.024990080481466,31.05663481920158",DIST-25-788
صيدلية علي وعلي - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 10,شارع 44، خلف المسجد، الحي 10,0123698790,"https://www.google.com/maps?q=30.130053715859457,31.99118763714772",DIST-12-975
صيدلية د. أحمد حسن,بورسعيد,المركز الرئيسي,الحي 3,شارع 18، خلف المسجد، الحي 3,0127799804,"https://www.google.com/maps?q=29.71878686500286,30.66647425596392",DIST-11-486
صيدلية د. سيد علي,بني سويف,المركز الرئيسي,الحي 4,شارع 85، خلف المسجد، الحي 4,0107520160,"https://www.google.com/maps?q=29.802628865003992,30.75433849841683",DIST-15-220
صيدلية د. محمود محمود,قنا,المركز الرئيسي,الحي 7,شارع 95، خلف المدرسة، الحي 7,0126880668,"https://www.google.com/maps?q=30.128552480149125,31.0740702311206",DIST-19-676
صيدلية سيف - المركز الرئيسي,المنوفية,المركز الرئيسي,الحي 8,شارع 36، خلف المسجد، الحي 8,0119224718,"https://www.google.com/maps?q=30.898479143733454,31.20552076259399",DIST-06-377
صيدلية د. أحمد سيد,الوادي الجديد,المركز الرئيسي,الحي 8,شارع 17، خلف المسجد، الحي 8,0107664654,"https://www.google.com/maps?q=29.67950244793778,30.249673889376226",DIST-23-671
صيدلية علي وعلي - المركز الرئيسي,جنوب سيناء,المركز الرئيسي,الحي 3,شارع 3، خلف المسجد، الحي 3,0153401098,"https://www.google.com/maps?q=30.063965568307115,30.714140405716194",DIST-26-570
